IND_TP_CD,DATA_DATE,IDX_OPPR,IDX_HIPR,IDX_LOPR,IDX_CLPR,IDX_YDAY_CMPR_AMT,YDAY_CMPR_SECT,VOLM,TR_AMT,STK_CNT,AVLS,CAP_AMT1,FRMN_HOLD_STK_CNT,FRMN_HOLD_AVLS,MRTR_ITEM_CNT,CRDT_ENBL_ITEM_VOLM,CRDT_DATA_DATE,LEND_NEW_STKQ,LEND_NEW_AMT,LEND_RMBR_STKQ,LEND_RMBR_AMT,LEND_BALAN_STKQ,LEND_BALAN_AMT,STLOAN_RMBR_AMT,STLOAN_RMBR_STKQ,STLOAN_NEW_AMT,STLOAN_NEW_STKQ,STLOAN_BALAN_AMT,STLOAN_BALAN_STKQ,FRWDELVY_MTR_QTY,FRWDELVY_STK_AVG_PRC,RISE_ITEM_VOLM,DPRICE_ITEM_VOLM,FACE_ADJ_VOLM,SAME_FACE_STK_CNT,CLPR_AVG,ALL_ITEM_CNT,CO_CNT,TR_TYPE_TYPE_ITEM_CNT,RISE_ITEM_CNT,DPRICE_ITEM_CNT,STNR_ITEM_CNT,TOP_ITEM_CNT,BTM_ITEM_CNT,YYW_MXPR_ITEM_CNT,YYW_MNPR_ITEM_CNT,D25_EMA_EXCD_ITEM_CNT,D25_EMA_FLSH_ITEM_CNT,W52_NEW_HIPR_ITEM_CNT,W52_NEW_LOPR_ITEM_CNT,DVID_YIRT
10004,20001220,581.52,581.52,581.52,581.52,39.14,5,72602409,285834,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001220,484.91,484.91,484.91,484.91,15.15,5,132413233,914302,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20001221,562.18,562.18,562.18,562.18,19.34,5,64764371,222509,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001221,432.17,432.17,432.17,432.17,6.2,5,51249340,179796,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001221,483.49,483.49,483.49,483.49,1.42,5,138842231,1092586,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20001222,536.5,536.5,536.5,536.5,25.68,5,73888532,230974,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001222,473.13,473.13,473.13,473.13,10.36,5,171416705,1023943,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001222,424.01,424.01,424.01,424.01,8.16,5,60934031,206760,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20001226,531.16,531.16,531.16,531.16,5.34,5,51743713,152560,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20001226,476.57,476.57,476.57,476.57,3.44,1,117223060,1052968,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20001226,432.9,432.9,432.9,432.9,8.89,1,48064732,139325,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010102,555.53,555.53,555.53,555.53,24.37,1,48025512,126079,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010102,489.52,489.52,489.52,489.52,12.95,1,93605368,694454,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010102,442.14,442.14,442.14,442.14,9.24,1,51922596,177140,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010103,570.04,570.04,570.04,570.04,14.51,1,71682661,182384,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010103,445.97,445.97,445.97,445.97,3.83,1,64350835,212940,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010103,489.16,489.16,489.16,489.16,0.36,5,146108088,954585,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010104,471.54,471.54,471.54,471.54,25.57,1,93937397,323132,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010104,525.35,525.35,525.35,525.35,36.19,1,196832490,1969235,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010104,597.42,597.42,597.42,597.42,27.38,1,86972650,227045,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010105,486.67,486.67,486.67,486.67,15.13,1,128004727,399993,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010105,597.65,597.65,597.65,597.65,0.23,1,99094070,262216,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010105,547.59,547.59,547.59,547.59,22.24,1,277307363,2370003,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010108,552.45,552.45,552.45,552.45,4.86,1,281429055,1935464,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010108,496.26,496.26,496.26,496.26,9.59,1,124838439,393059,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010108,613.04,613.04,613.04,613.04,15.39,1,79825534,238944,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010109,506.11,506.11,506.11,506.11,9.85,1,139550022,443361,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010109,627.14,627.14,627.14,627.14,14.1,1,93925947,273778,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010109,553.87,553.87,553.87,553.87,1.42,1,242793980,1731168,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010110,478.55,478.55,478.55,478.55,27.56,5,159930232,523480,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010110,526.45,526.45,526.45,526.45,27.42,5,268552982,1963006,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010110,600.95,600.95,600.95,600.95,26.19,5,117117294,347217,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010111,525.49,525.49,525.49,525.49,0.96,5,215029081,1650449,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010111,494.5,494.5,494.5,494.5,15.95,1,141093388,475478,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010111,619.36,619.36,619.36,619.36,18.41,1,84741875,259461,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010112,554.86,554.86,554.86,554.86,29.37,1,314746360,2535552,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010112,623.31,623.31,623.31,623.31,3.95,1,107352788,327981,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010112,502.66,502.66,502.66,502.66,8.16,1,200163313,654281,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010115,511.67,511.67,511.67,511.67,9.01,1,154156293,552262,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010115,566.38,566.38,566.38,566.38,11.52,1,273276507,2184431,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010115,628.59,628.59,628.59,628.59,5.28,1,100627518,335272,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010116,512.62,512.62,512.62,512.62,0.95,1,156272988,512367,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010116,621.43,621.43,621.43,621.43,7.16,5,71849035,236201,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010116,571.02,571.02,571.02,571.02,4.64,1,284813198,2240138,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010117,612.54,612.54,612.54,612.54,8.89,5,89507304,346820,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010117,564.65,564.65,564.65,564.65,6.37,5,219323995,1969336,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010117,503,503,503,503,9.62,5,117737510,488361,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010118,574.15,574.15,574.15,574.15,9.5,1,224415258,2128328,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010118,608.46,608.46,608.46,608.46,4.08,5,63656030,225416,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010118,500.47,500.47,500.47,500.47,2.53,5,99407841,388448,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010119,592.68,592.68,592.68,592.68,18.53,1,193872547,2070127,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010119,610.99,610.99,610.99,610.99,2.53,1,64325143,223228,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010119,505.61,505.61,505.61,505.61,5.14,1,108884471,379721,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010122,626.69,626.69,626.69,626.69,15.7,1,74736802,206812,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010122,597.95,597.95,597.95,597.95,5.27,1,189337414,1567138,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010122,527.87,527.87,527.87,527.87,22.26,1,136677337,443798,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010126,511.72,511.72,511.72,511.72,16.15,5,111172431,360494,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010126,615.13,615.13,615.13,615.13,11.56,5,84189579,204853,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010126,560.16,560.16,560.16,560.16,37.79,5,201702808,1791462,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010129,521.47,521.47,521.47,521.47,9.75,1,104469800,333559,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010129,634.38,634.38,634.38,634.38,19.25,1,104824267,244173,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010129,564.49,564.49,564.49,564.49,4.33,1,181896745,1545870,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010130,519.43,519.43,519.43,519.43,2.04,5,109620736,393355,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010130,558.84,558.84,558.84,558.84,5.65,5,195935799,1430087,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010130,637.97,637.97,637.97,637.97,3.59,1,129453531,324532,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010131,641.42,641.42,641.42,641.42,3.45,1,81553873,234563,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010131,529.46,529.46,529.46,529.46,10.03,1,88123481,319987,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010131,586.13,586.13,586.13,586.13,27.29,1,199409467,1718679,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010201,522.52,522.52,522.52,522.52,6.94,5,86811531,303345,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010201,580.06,580.06,580.06,580.06,6.07,5,161489862,1371645,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010201,639.46,639.46,639.46,639.46,1.96,5,74033879,231106,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010202,575.94,575.94,575.94,575.94,4.12,5,120514296,1003026,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010202,643.33,643.33,643.33,643.33,3.87,1,69310494,215884,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010202,524.61,524.61,524.61,524.61,2.09,1,83699704,311675,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010205,503.66,503.66,503.66,503.66,20.95,5,100962902,353250,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010205,630.2,630.2,630.2,630.2,13.13,5,80167697,251150,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010205,546.18,546.18,546.18,546.18,29.76,5,109186816,1014192,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010206,552.15,552.15,552.15,552.15,5.97,1,113374441,846289,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010206,639.03,639.03,639.03,639.03,8.83,1,80393406,237224,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010206,510.86,510.86,510.86,510.86,7.2,1,86444882,293281,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010207,633.77,633.77,633.77,633.77,5.26,5,75420591,239784,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010207,503.42,503.42,503.42,503.42,7.44,5,67389547,249195,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010207,541.42,541.42,541.42,541.42,10.73,5,111988979,765634,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010208,557.32,557.32,557.32,557.32,15.9,1,120242162,1041616,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010208,510.94,510.94,510.94,510.94,7.52,1,57971645,218918,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010208,640.92,640.92,640.92,640.92,7.15,1,62736217,239489,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010209,518.02,518.02,518.02,518.02,7.08,1,74658218,313040,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010209,645.52,645.52,645.52,645.52,4.6,1,71337492,251019,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010209,560.01,560.01,560.01,560.01,2.69,1,136795648,1125151,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010212,520.52,520.52,520.52,520.52,2.5,1,63077047,258827,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010212,646.8,646.8,646.8,646.8,1.28,1,68606139,207307,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010212,563.25,563.25,563.25,563.25,3.24,1,110357915,1039911,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10003,20010213,525.13,525.13,525.13,525.13,4.61,1,77404273,290817,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10004,20010213,650.04,650.04,650.04,650.04,3.24,1,64813298,231973,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10002,20010213,563.02,563.02,563.02,563.02,0.23,5,134136635,1162089,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
