,ID,NAME
198,ECOESBRARNARG016000,서비스총계
199,ECOESBRARNARG022000,부동산 및 임대
200,ECOEAHKGRRTRS001000,홍콩 소매매출증가율
201,ECOEAJPNREARS002000,도매매출[일본]
202,ECOEAJPNRNANG025000,정부지출(일본_명목_SAAR)
203,ECOEAKORRNANG018000,광업(명목)
204,ECOEAKORRNANG020000,전기가스및수도사업(명목)
205,ECOEAKORRNARU001000,국내총생산에대한지출(실질)
206,ECOEAKORRPCTB001000,수출물가지수(총지수)
207,ECOEAVNMRFDER001000,외환보유액[베트남](금제외)
208,ECOENUSAREAIP010000,반도체장비재고[미국]
209,ECOENUSARPSEN003000,개인저축[미국]
210,ECOESBRARDGPT013000,55-59세
211,ECOESBRARHSHC001000,건설총비용
212,ECOEWPRTRTDBT001000,무역수지[포르투갈]
213,ECOEACHNRIMCV001000,고정자산 투자율[중국]
214,ECOEAJPNRNANG001000,최종소비지출(일본_명목_NSA)
215,ECOEAKORRNARU018000,광업(실질)
216,ECOEAVNMRPCCP001000,소비자물가[베트남]
217,ECOENCANREAIP001000,산업생산[캐나다](NSA)
218,ECOENUSARREBK011000,분기별은행담보권행사시작비율(NSA)
219,ECOEOAUSRLWUE001000,실업률(NSA)[호주]
220,ECOESBRARGVBP005000,서비스수지[브라질]
221,ECOEACHNRFDER002000,외환보유액(금제외)
222,ECOEAJPNRNARG038000,국내총수요[일본](SAAR)
223,ECOENUSARCICI003000,경기동행지수[미국]
224,ECOENUSARCMPS013000,Baker Hughes 석유시추회수 가스
225,ECOESBRAFNARG001000,브라질-연간 경제전망치
226,ECOEZEUZRTDIM009000,수입[EU(27)]
227,ECOEAKORRCICI011000,동행종합지수(2015=100)
228,ECOEEGRCRTDTB009000,무역수지[그리스]
229,ECOENUSARREBK003000,모기지연체율(60-89일연체_SA)
230,ECOESBRARPCCP011000,교육
231,ECOEWDEURPCRP001000,소매물가[독일]
232,ECOEAKORREAIP009000,건설업생산지수(SA)
233,ECOEAKORRNANG003000,민간(명목)
234,ECOEAKORRNANG031000,문화 및 기타서비스업(명목)
235,ECOEERUSRTDTB009000,무역수지[러시아]
236,ECOENUSARHSHC003000,기존주택판매[미국]
237,ECOESBRARTDEX002000,수출품목(기본재)
238,ECOEWESPREAIP001000,산업생산[스페인]
239,ECOEWFRARPCCP001000,소비자물가[프랑스]
240,ECOEWGBRRTDIM009000,수입[영국]
241,ECOEWNLDRNARG001000,실질GDP[네덜란드]
242,ECOEWPRTRTDIM009000,수입[포르투갈]
243,ECOEZEUZRGVBP007000,금융수지
244,ECOFAKORRFDMP001000,한은 기준금리
245,ECOEAJPNRNANG016000,국내총수요(일본_명목_NSA)
246,ECOEECYPRGVLI003000,정부 총 공공부채(IMF 단기부채 포함)[키프로스]
247,ECOEECYPRGVLI005000,정부 총 외채[키프로스]
248,ECOEECYPRLWUE001000,실업률[키프로스]
249,ECOEONZLRTDTB009000,무역수지[뉴질랜드]
250,ECOESBRARNARG013000,제조업
251,ECOEWDEURPCCP001000,소비자물가[독일]
252,ECOEAHKGRPCCP001000,소비자물가[홍콩]
253,ECOEAJPNRLWUE002000,실업률[일본_SA]
254,ECOEAKORRNARU020000,전기가스및수도사업(실질)
255,ECOEEAUTRNARG001000,실질GDP[오스트리아]
256,ECOENUSARCICI002000,경기선행지수전월비(%)[미국]
257,ECOENUSAREAMF014000,필라델피아연준지수[미국]
258,ECOENUSARLWEM001000,신규실업보험청구자수SA[미국]
259,ECOESBRARFDNR005000,모기지 레퍼런스 금리
260,ECOESBRARTDEX020000,수출국(우루과이)
261,ECOEWESPRTDIM009000,수입[스페인]
262,ECOFAJPNRFDMP025000,금정위
263,ECOEAJPNREAIP002000,산업생산[일본](SA)
264,ECOEAKORRNANG022000,도소매 및 음식숙박업(명목)
265,ECOEEGRCRTDEX009000,수출[그리스]
266,ECOENCANRPCCP002000,소비자물가상승율[캐나다]
